iter	RMSE
0	479716.345
1	459018.4748
2	439791.8165
3	422535.9328
4	406742.891
5	391924.5193
6	378794.7533
7	367003.3657
8	356615.2339
9	347375.0729
10	338773.5198
11	330764.0111
12	323281.8022
13	316807.406
14	310675.3464
15	305399.945
16	300276.3234
17	295708.4109
18	291774.1713
19	288179.376
20	284816.4372
21	281883.6587
22	278929.9763
23	276358.8671
24	274167.8002
25	271689.8499
26	268884.1798
27	266728.7284
28	264959.5122
29	263172.0537
30	261229.4465
31	259958.2235
32	258561.0302
33	257283.6659
34	255350.1817
35	254148.785
36	253025.2981
37	251764.1333
38	250237.8344
39	249171.0128
40	248403.1075
41	247357.0563
42	246291.2882
43	245437.6836
44	244389.4832
45	243823.8699
46	243154.9595
47	242440.1374
48	241716.1227
49	240922.5791
50	239981.7554
51	239226.1427
52	238298.3441
53	237759.0435
54	237334.1157
55	236766.2112
56	235349.6806
57	234643.804
58	234177.4436
59	233307.6421
60	232901.8342
61	232535.0926
62	231829.162
63	231094.461
64	230735.8953
65	229984.1957
66	229255.7147
67	228915.0185
68	228465.094
69	227998.8764
70	227408.3368
71	226892.6399
72	226360.1434
73	225799.4042
74	225154.4095
75	224745.0035
76	224121.8688
77	223909.1188
78	223317.0239
79	222940.3939
80	222425.4806
81	222165.979
82	221425.3456
83	221076.9297
84	220776.6656
85	220182.094
86	219797.7853
87	219275.5698
88	218947.0967
89	218539.3202
90	218192.9281
91	217837.5602
92	217417.0488
93	216855.4952
94	216538.6917
95	216198.505
96	215917.0944
97	215326.4871
98	215120.4817
99	214754.8609
100	214504.8106
101	214294.7245
102	213902.6669
103	213523.0854
104	213256.168
105	212948.3874
106	212526.0079
107	212266.1614
108	212049.2137
109	211701.2831
110	211281.0301
111	210926.3013
112	210752.263
113	210319.2922
114	210112.2631
115	209889.0524
116	209403.9434
117	209208.9307
118	208620.5813
119	208385.7375
120	207928.5095
121	207651.3827
122	207214.6396
123	206657.7896
124	206192.4106
125	205781.3273
126	205529.53
127	205384.8858
128	205159.5059
129	204873.067
130	204622.6993
131	204238.6972
132	203871.3697
133	203591.125
134	203370.1719
135	202388.0141
136	201983.6972
137	201757.4665
138	201437.6167
139	201284.1619
140	200888.7621
141	200735.433
142	200529.0571
143	200243.328
144	199914.4721
145	199747.0969
146	199525.2151
147	199169.5937
148	199069.298
149	198776.6718
150	198470.5372
151	198225.8203
152	198082.1467
153	197893.6442
154	197546.3412
155	197077.2486
156	196790.8632
157	196500.4855
158	196357.0893
159	196245.8499
160	195867.2342
161	195601.3384
162	195390.6967
163	195127.8499
164	194855.8322
165	194558.0649
166	194310.1197
167	194016.7851
168	193795.3213
169	193480.5438
170	193317.9662
171	193078.1236
172	192841.4644
173	192608.4689
174	192381.6975
175	192062.0033
176	191820.0569
177	191503.9088
178	191276.5851
179	191093.5028
180	190870.4971
181	190604.0788
182	190371.2168
183	190164.927
184	189954.4579
185	189700.3987
186	189481.0873
187	189289.643
188	189130.4783
189	188934.1421
190	188736.0549
191	188565.238
192	188390.1243
193	188075.4317
194	187781.9354
195	187577.402
196	187393.696
197	187246.2982
198	187002.365
199	186836.3442
200	186701.1239
201	186536.6504
202	186304.8514
203	186049.9487
204	185825.7438
205	185639.2085
206	185489.2409
207	185181.4669
208	185026.6637
209	184741.3847
210	184445.8241
211	184296.1513
212	184159.5904
213	184025.1993
214	183907.6629
215	183791.6888
216	183633.6981
217	183517.0022
218	183297.7226
219	183139.4553
220	182999.0104
221	182768.9593
222	182592.354
223	182354.4032
224	182212.6373
225	182099.6059
226	182003.1755
227	181797.5791
228	181642.6844
229	181464.0329
230	181279.9766
231	181207.6384
232	181125.5596
233	180970.4731
234	180754.3716
235	180598.0555
236	180391.5543
237	180129.1738
238	179923.2418
239	179799.525
240	179693.0567
241	179484.8001
242	179365.5287
243	179195.1144
244	179010.9666
245	178661.159
246	178471.2528
247	178277.7088
248	178154.1318
249	178041.4431
250	177841.5009
251	177705.2532
252	177498.8536
253	177198.8469
254	177117.7968
255	176933.2062
256	176585.1365
257	176441.7296
258	176288.0676
259	176177.5974
260	176013.5535
261	175859.6254
262	175609.9727
263	175501.1395
264	175398.4155
265	175242.5109
266	175039.5431
267	174932.5648
268	174822.5337
269	174532.9381
270	174377.8057
271	174239.9782
272	174145.4381
273	174029.0497
274	173940.1168
275	173742.3968
276	173549.9605
277	173398.7075
278	173259.8372
279	173116.2654
280	172930.9868
281	172844.3867
282	172733.8415
283	172603.877
284	172440.8788
285	172284.8031
286	172197.7178
287	172119.479
288	172030.3498
289	171933.5118
290	171764.2542
291	171518.0331
292	171434.3178
293	171332.2281
294	171163.9097
295	171056.5016
296	170906.4468
297	170779.2042
298	170704.6412
299	170450.6399
300	170285.7811
301	170197.7983
302	169649.4184
303	169495.5833
304	169377.3784
305	169278.9602
306	169185.1612
307	168930.88
308	168787.821
309	168571.7402
310	168463.8277
311	168382.7184
312	168298.778
313	168093.9625
314	167962.8497
315	167795.2193
316	167718.6639
317	167490.8518
318	167368.4292
319	167188.6782
320	167072.7765
321	166884.7864
322	166742.0583
323	166625.4557
324	166570.7106
325	166480.1912
326	166269.7631
327	166171.1437
328	165944.6164
329	165782.3279
330	165697.4513
331	165576.8369
332	165499.7254
333	165398.9879
334	165336.0263
335	165226.1241
336	165087.2877
337	164810.758
338	164763.221
339	164622.2445
340	164548.2645
341	163735.1343
342	163685.3987
343	163579.2457
344	163498.5299
345	163428.1148
346	163349.3311
347	163265.1888
348	163197.5244
349	163107.8676
350	162976.1365
351	162892.5908
352	162839.3215
353	162772.6854
354	162580.4826
355	162459.5369
356	162386.1629
357	162280.6142
358	162108.1126
359	162028.2426
360	161968.8053
361	161878.3222
362	161812.6105
363	161670.5912
364	161537.4659
365	161426.9784
366	161378.777
367	161207.1771
368	161140.7038
369	161022.897
370	160967.2366
371	160804.2683
372	160720.1147
373	160620.5897
374	160501.456
375	160411.5448
376	160353.6216
377	160301.6025
378	160213.9716
379	160082.4694
380	160004.9467
381	159917.3325
382	159846.7889
383	159766.7245
384	159585.2479
385	159510.5925
386	159379.7323
387	159220.2634
388	159171.4105
389	158464.7045
390	158367.248
391	158230.4236
392	157630.0296
393	157523.8681
394	157470.2239
395	157411.1468
396	157279.7194
397	157143.798
398	157082.1138
399	157014.5321
400	156915.7676
401	156771.0143
402	156627.677
403	156553.429
404	156170.1743
405	156088.1043
406	155973.7119
407	155904.8369
408	155846.8134
409	155718.9574
410	155626.7066
411	155592.3067
412	155255.1197
413	155194.8227
414	155104.5508
415	154986.7326
416	154930.4326
417	154848.8651
418	154625.666
419	154529.1676
420	154448.4333
421	154395.3063
422	154292.8685
423	154256.7187
424	154207.4
425	154133.8796
426	154042.4664
427	153938.0722
428	153844.1945
429	153726.6736
430	153678.2639
431	153588.3314
432	153502.2439
433	153305.5381
434	153220.072
435	153091.6949
436	152932.4753
437	152794.0305
438	152670.5574
439	152596.6064
440	152503.5152
441	152421.5771
442	152256.2427
443	152161.8726
444	152123.8664
445	151984.8701
446	151909.9444
447	151809.0081
448	151697.297
449	151548.6878
450	151454.2144
451	151343.6787
452	151272.9396
453	151160.5183
454	151116.3572
455	151038.524
456	150971.9906
457	150883.4299
458	150821.1189
459	150662.9138
460	150559.3869
461	150511.3745
462	150436.0087
463	150023.7646
464	149970.2964
465	149913.5047
466	149849.3965
467	149715.1564
468	149642.5166
469	149549.2952
470	149478.517
471	149426.9387
472	149362.4934
473	149281.3279
474	149195.687
475	149156.8562
476	149108.9189
477	149021.5285
478	148924.8973
479	148798.8869
480	148750.3534
481	148635.7544
482	148525.6105
483	148416.6065
