iter	Passed	Remaining
0	5	5101
1	10	5030
2	14	4694
3	17	4420
4	21	4336
5	25	4276
6	30	4260
7	34	4216
8	37	4161
9	41	4142
10	45	4121
11	49	4087
12	54	4115
13	58	4085
14	62	4071
15	65	4056
16	70	4050
17	73	4033
18	77	4008
19	81	4005
20	85	3979
21	89	3959
22	92	3947
23	96	3919
24	99	3898
25	103	3884
26	107	3879
27	111	3868
28	115	3851
29	118	3837
30	122	3826
31	126	3812
32	129	3797
33	133	3795
34	137	3791
35	141	3784
36	144	3771
37	148	3768
38	152	3755
39	156	3747
40	159	3733
41	163	3719
42	166	3709
43	170	3700
44	174	3699
45	177	3685
46	181	3675
47	184	3668
48	188	3658
49	192	3648
50	195	3638
51	199	3633
52	202	3627
53	206	3619
54	210	3610
55	213	3602
56	217	3596
57	220	3583
58	223	3569
59	227	3565
60	230	3555
61	234	3544
62	237	3538
63	241	3535
64	245	3528
65	249	3526
66	252	3519
67	256	3513
68	259	3503
69	263	3497
70	266	3488
71	270	3485
72	273	3479
73	277	3473
74	281	3468
75	284	3460
76	288	3455
77	291	3448
78	295	3441
79	298	3435
80	302	3427
81	305	3421
82	309	3420
83	313	3418
84	317	3415
85	320	3409
86	324	3402
87	327	3398
88	331	3394
89	335	3387
90	338	3384
91	342	3384
92	346	3378
93	350	3382
94	354	3380
95	358	3378
96	362	3375
97	366	3370
98	370	3370
99	374	3368
100	378	3365
101	381	3357
102	385	3354
103	389	3354
104	393	3352
105	397	3348
106	400	3344
107	404	3340
108	408	3336
109	412	3335
110	416	3332
111	419	3326
112	423	3321
113	426	3316
114	430	3314
115	434	3311
116	438	3306
117	441	3299
118	445	3294
119	448	3290
120	452	3286
121	456	3282
122	459	3278
123	463	3275
124	467	3273
125	471	3271
126	475	3269
127	479	3266
128	483	3264
129	487	3261
130	490	3256
131	494	3251
132	498	3247
133	501	3244
134	505	3239
135	509	3236
136	513	3232
137	517	3229
138	521	3227
139	524	3223
140	528	3219
141	532	3216
142	536	3213
143	539	3209
144	543	3205
145	547	3202
146	551	3199
147	555	3196
148	558	3190
149	562	3188
150	566	3186
151	570	3183
152	574	3179
153	578	3177
154	582	3175
155	586	3172
156	590	3170
157	594	3167
158	598	3166
159	602	3161
160	605	3157
161	609	3152
162	613	3148
163	616	3144
164	620	3141
165	624	3138
166	628	3135
167	632	3131
168	636	3128
169	640	3126
170	644	3123
171	648	3120
172	651	3116
173	655	3111
174	659	3110
175	663	3108
176	667	3105
177	671	3102
178	675	3098
179	680	3098
180	684	3095
181	687	3092
182	691	3087
183	695	3084
184	699	3080
185	702	3075
186	706	3070
187	710	3068
188	714	3064
189	718	3061
190	722	3059
191	726	3055
192	730	3052
193	733	3048
194	738	3046
195	742	3045
196	746	3041
197	750	3038
198	753	3034
199	757	3031
200	761	3029
201	765	3025
202	769	3021
203	773	3016
204	776	3012
205	780	3007
206	783	3003
207	787	2999
208	791	2996
209	795	2992
210	799	2989
211	803	2985
212	807	2983
213	811	2979
214	814	2975
215	818	2971
216	822	2968
217	826	2964
218	830	2961
219	834	2956
220	837	2952
221	841	2947
222	845	2944
223	849	2942
224	852	2937
225	856	2934
226	860	2929
227	864	2926
228	868	2923
229	872	2919
230	875	2915
231	879	2911
232	882	2906
233	886	2903
234	891	2900
235	895	2899
236	899	2894
237	903	2892
238	907	2889
239	911	2885
240	914	2881
241	918	2878
242	923	2875
243	927	2872
244	931	2869
245	934	2865
246	938	2861
247	942	2856
248	946	2853
249	949	2848
250	953	2844
251	957	2841
252	961	2838
253	965	2836
254	969	2832
255	973	2829
256	977	2826
257	981	2822
258	985	2818
259	988	2814
260	992	2810
261	996	2806
262	1000	2802
263	1004	2799
264	1007	2795
265	1011	2791
266	1015	2787
267	1019	2784
268	1023	2781
269	1027	2777
270	1033	2779
271	1038	2779
272	1045	2783
273	1050	2784
274	1056	2785
275	1062	2787
276	1068	2789
277	1073	2788
278	1078	2787
279	1082	2784
280	1086	2781
281	1090	2776
282	1094	2773
283	1101	2776
284	1106	2776
285	1111	2773
286	1115	2771
287	1119	2767
288	1123	2763
289	1127	2759
290	1131	2756
291	1136	2755
292	1141	2754
293	1147	2755
294	1152	2753
295	1155	2748
296	1159	2744
297	1163	2740
298	1167	2737
299	1173	2737
300	1177	2734
301	1181	2730
302	1185	2727
303	1190	2724
304	1193	2720
305	1198	2717
306	1202	2713
307	1208	2714
308	1213	2714
309	1218	2711
310	1222	2708
311	1227	2705
312	1231	2701
313	1234	2697
314	1239	2695
315	1244	2692
316	1247	2687
317	1251	2683
318	1255	2680
319	1259	2677
320	1263	2673
321	1267	2669
322	1271	2665
323	1276	2662
324	1280	2660
325	1286	2659
326	1290	2656
327	1296	2657
328	1302	2655
329	1307	2653
330	1311	2649
331	1314	2645
332	1318	2641
333	1323	2639
334	1328	2636
335	1332	2633
336	1336	2629
337	1340	2624
338	1343	2620
339	1347	2616
340	1351	2612
341	1355	2608
342	1359	2604
343	1363	2599
344	1366	2594
345	1370	2590
346	1373	2585
347	1377	2581
348	1381	2576
349	1385	2572
350	1389	2568
351	1393	2564
352	1397	2560
353	1400	2556
354	1404	2552
355	1408	2548
356	1412	2543
357	1416	2539
358	1420	2535
359	1423	2531
360	1427	2526
361	1431	2522
362	1435	2518
363	1439	2515
364	1443	2511
365	1447	2508
366	1452	2504
367	1455	2500
368	1459	2496
369	1463	2492
370	1467	2488
371	1471	2483
372	1475	2480
373	1479	2475
374	1483	2471
375	1486	2467
376	1490	2463
377	1494	2459
378	1499	2456
379	1503	2452
380	1508	2450
381	1513	2448
382	1517	2444
383	1521	2440
384	1525	2436
385	1528	2431
386	1532	2427
387	1536	2423
388	1539	2418
389	1543	2414
390	1546	2409
391	1550	2404
392	1554	2400
393	1559	2398
394	1564	2396
395	1569	2393
396	1575	2393
397	1580	2390
398	1585	2388
399	1589	2384
400	1595	2383
401	1600	2381
402	1606	2379
403	1613	2379
404	1618	2378
405	1623	2375
406	1629	2374
407	1635	2372
408	1640	2370
409	1647	2371
410	1654	2370
411	1659	2369
412	1664	2365
413	1669	2363
414	1674	2360
415	1679	2358
416	1684	2355
417	1690	2353
418	1696	2352
419	1701	2350
420	1707	2348
421	1711	2343
422	1714	2338
423	1718	2334
424	1722	2329
425	1727	2327
426	1732	2324
427	1737	2322
428	1743	2321
429	1749	2319
430	1754	2316
431	1759	2313
432	1763	2308
433	1766	2304
434	1771	2300
435	1775	2296
